Mailing list,Use it
ai-sges@jiscmail.ac.uk,true
aic-seminars@AI.SRI.COM,true
aisworld@lists.aisnet.org,true
alp@mail.cs.nmsu.edu,true
annotator-discuss@googlegroups.com,rejected
appontresearch@lists.stanford.edu,true
bioinfo@sfbi.fr,true
bull-i3@irit.fr,true
CHI-ANNOUNCEMENTS@LISTSERV.ACM.ORG,rejected
cl-list@lists.ifi.uzh.ch,rejected
community@sti2.org,true
corpora@uib.no,true
dbpedia-discussion@lists.sourceforge.net,true
dbworld@cs.wisc.edu,via_web_interface_only
DC-VOCABULARY@JISCMAIL.AC.UK,true
deri.ie-research@lists.deri.org,rejected
derive-public@few.vu.nl,true
dl@dl.kr.org,true
eccaisocieties08@eccai.org,true
elsnet-list@elsnet.org,true
emplus@dfki.de,false
fca-list@cs.uni-kassel.de,rejected
flarenet_subscribers@ilc.cnr.it,true
GATE-users@lists.sourceforge.net,true
grin-eventi@grin-informatica.it,no_subscription
icaps-conference@googlegroups.com,too_much_traffic
ines-grupo-web@lists.morfeo-project.org,no_domain
info-ic@listes.irisa.fr,true
ir-l@uccvma.ucop.edu,no_domain
IRList@lists.shef.ac.uk,true
irma-l@irma-international.org,true
isb@listserv.it.northwestern.edu,true
kaw@science.uva.nl,false
linking-open-data@simile.mit.edu,deprecated
lirmm@lirmm.fr,true
liste-egc@polytech.univ-nantes.fr,rejected
ln@cines.fr,true
machine-learning@egroups.com,true
members@sigsem.org,not_yet_available
members@sti2.org,true
nl-kr@tubvm.cs.tu-berlin.de,no_domain
open-linguistics@lists.okfn.org,true
open-science@lists.okfn.org,true
owlapi-developer@lists.sourceforge.net,true
planet@lists.uni-ulm.de,true
planning-list@googlegroups.com,rejected
pragmaticweb@lists.spline.inf.fu-berlin.de,true
protege-discussion@lists.stanford.edu,obsolete
protege-owl@mailman.stanford.edu,obsolete
public-lod@w3.org,true
public-ontolex@w3.org,true
public-rww@w3.org,true
public-semweb-lifesci@w3.org,true
public-vocabs@w3.org,true
public-xg-ssn@w3.org,too_much_traffic
qald-1@lists.cit-ec.uni-bielefeld.de,true
redlinkeddata@listas.fi.upm.es,rejected
researchers@pascal-network.org,true
rwi@future-internet.eu,rejected
sap.research.smartproducts@listserv.sap.com,false
semantic-web@w3.org,true
semanticweb@yahoogroups.com,rejected
semweb-spain@delicias.dia.fi.upm.es,user_unknown
sigsem@aclweb.org,rejected
sigsem@list.rug.nl,true
siksleden@cs.uu.nl,true
sioc-dev@googlegroups.com,true
sw-meetings@cs.vu.nl,rejected
tag@cs.texas.edu,no_domain
TextAnalytics@yahoogroups.com,true
topicmapmail@infoloom.com,false
web-semantica-ayuda@es.tldp.org,true
web.semantique@inria.fr,true
webscience-announce@ecs.soton.ac.uk,true
webscience-montpellier-list@meetup.com,true
wegov@ecs.soton.ac.uk,true
wikidata-l@lists.wikimedia.org,true
www-rdf-interest@w3.org,deprecated
